query	time	cardinality
Q3.sparql	0.3941409588	1
Q9.sparql	0.4163219929	1
Q13.sparql	0.4013638496	1
Q1.sparql	0.3978610039	1
Q7.sparql	0.3957839012	0
Q6.sparql	0.6172809601	0
Q4.sparql	0.5866060257	1
Q12.sparql	0.4269900322	1
Q5.sparql	0.3740208149	1
Q11.sparql	0.4146831036	1
Q8.sparql	0.4119310379	1
Q10.sparql	0.4023001194	1
Q2.sparql	0.3747968674	1
Q14.sparql	0.4097239971	1
