query	time	cardinality
Q3.sparql	0.3974208832	1
Q9.sparql	0.4051249027	1
Q13.sparql	0.3992919922	1
Q1.sparql	0.3929929733	1
Q7.sparql	0.4035289288	0
Q6.sparql	0.5279519558	0
Q4.sparql	0.5346138477	1
Q12.sparql	0.4100399017	1
Q5.sparql	0.3798458576	1
Q11.sparql	0.4176499844	1
Q8.sparql	0.4124732018	1
Q10.sparql	0.4007010460	1
Q2.sparql	0.3823349476	1
Q14.sparql	0.4153010845	1
